
1943,db_ads_nstc.clife_nstc_ads_event_by_object_m,商品/店铺被浏览关注月应用表,2498,part_date,string
1944,db_ads_nstc.clife_nstc_ads_event_by_object_y,商品/店铺被浏览关注年应用表,2499,part_date,string
1953,db_ads_nstc.clife_nstc_ads_order_detail_comment_info_d,产品评价信息日应用表ads,2506,part_date,string
1954,db_ads_nstc.clife_nstc_ads_order_detail_comment_info_m,产品评价信息月应用表ads,2507,part_date,string
1955,db_ads_nstc.clife_nstc_ads_order_detail_comment_info_y,产品评价信息年应用表ads,2508,part_date,string
1929,db_dw_nstc.clife_nstc_dws_order_converge,订单信息多事物汇聚表,2509,part_date,string
1956,db_ads_nstc.clife_nstc_ads_order_detail_info_f,交易信息累计应用表,2510,part_date,string
1957,db_ads_nstc.clife_nstc_ads_order_detail_comment_info_f,产品评价信息累计应用表,2511,part_date,string
1958,db_ads_nstc.clife_nstc_ads_deal_message_info_f,买卖信息累计应用表,2512,part_date,string
1959,db_ads_nstc.clife_nstc_ads_event_by_object_f,商品/店铺被浏览关注累计应用表,2513,part_date,string
1960,db_ads_nstc.clife_nstc_ads_order_f,订单信息累计应用表,2514,part_date,string
